center_start: 2022-08-25T16:00:53.637387788
center_end: 2022-08-25T16:02:44.379227204
cbl_height: 1300
temp_p_mean_selection_cmh: 26.28432200302362
temp_vp_mean_selection_cmh: 28.47397554779578
spec_hum_mean_selection_cmh: 12.191994860645645
temp_p_mean_selection_sht: 25.986481909667013
temp_vp_mean_selection_sht: 28.272802944639167
spec_hum_mean_selection_sht: 12.749923165740507
temp_p_mean_selection_hyt: nan
temp_vp_mean_selection_hyt: nan
spec_hum_mean_selection_hyt: nan


datetime;w_selection [ms-1];dist_abs_selection [m];dist_rel_selection [m];temp_p_diff_selection_cmh [degc];temp_vp_diff_selection_cmh [degc];spec_hum_diff_selection_cmh [gkg-1];temp_p_diff_selection_sht [degc];temp_vp_diff_selection_sht [degc];spec_hum_diff_selection_sht [gkg-1]
2022-08-25 16:00:31.000;-0.3818758907184261;-2318.8643156095495;-1.4393978444575775;-0.08466460481136906;-0.0656530508128057;0.11066295676206117;-0.171098782825986;-0.15441506125277726;0.10167723712880061
2022-08-25 16:00:31.020;-0.3824549945114427;-2318.2426250913268;-1.439011940036251;-0.08486944747503244;-0.065864734439252;0.11063290474917409;-0.19152831034505624;-0.17890647160969309;0.07960761731417065
2022-08-25 16:00:31.040;-0.3829781783531555;-2317.6206634622504;-1.4386258673272092;-0.08507428990501253;-0.06325371360494358;0.12651952217982831;-0.20184534296549117;-0.18969707872649622;0.0773792453098956
2022-08-25 16:00:31.060;-0.38347819066338107;-2316.9984307223203;-1.4382396263304518;-0.10550405223344583;-0.083829376067591;0.126547870187947;-0.1818249813153372;-0.1674372060153786;0.0891670857845579
2022-08-25 16:00:31.080;-0.38389659277945554;-2316.3759268715366;-1.4378532170459788;-0.1057088803567332;-0.084041053442796;0.12651777866044256;-0.1795014401169439;-0.1650862958097008;0.08922070946450766
2022-08-25 16:00:31.100;-0.38425910171916433;-2315.7531519098993;-1.4374666394737903;-0.1059137082466215;-0.0842527305601024;0.12648768722157833;-0.17717790214538098;-0.16273544256232242;0.08927402876367196
2022-08-25 16:00:31.120;-0.384564861706285;-2315.1301058374083;-1.4370798936138862;-0.10611853590294018;-0.08446440741951022;0.1264575958713543;-0.17485436740053473;-0.16038464628870486;0.08932704360137933
2022-08-25 16:00:31.140;-0.384813205720694;-2314.5067812235357;-1.4366929748538855;-0.10632336332568926;-0.08467608402084892;0.12642750460979713;-0.17253083588229146;-0.15803390700396847;0.08937975389702757
2022-08-25 16:00:31.160;-0.3850298994089834;-2313.8831929293374;-1.4363058924185503;-0.11664061598182585;-0.10493411617917303;0.07079953125193761;-0.1322857120910541;-0.11000298332974978;0.13163036681148732
2022-08-25 16:00:31.180;-0.385158933877157;-2313.2593335242855;-1.4359186416954997;-0.11684543601782948;-0.10268328401266302;0.08465531407744109;-0.14765894543250369;-0.12797915549354855;0.11758969789928386
