center_start: 2022-08-06T11:03:39.236463852
center_end: 2022-08-06T11:04:18.455446093
cbl_height: 1800
temp_p_mean_selection_cmh: 16.976914834897492
temp_vp_mean_selection_cmh: 17.960885935387015
spec_hum_mean_selection_cmh: 5.618026614894937
temp_p_mean_selection_sht: 16.717312120281544
temp_vp_mean_selection_sht: 17.74802819262264
spec_hum_mean_selection_sht: 5.891585627742791
temp_p_mean_selection_hyt: 16.868559490760774
temp_vp_mean_selection_hyt: 17.75691340451438
spec_hum_mean_selection_hyt: 5.070997459120455


datetime;w_selection [ms-1];dist_abs_selection [m];dist_rel_selection [m];temp_p_diff_selection_cmh [degc];temp_vp_diff_selection_cmh [degc];spec_hum_diff_selection_cmh [gkg-1];temp_p_diff_selection_sht [degc];temp_vp_diff_selection_sht [degc];spec_hum_diff_selection_sht [gkg-1];temp_p_diff_selection_hyt [degc];temp_vp_diff_selection_hyt [degc];spec_hum_diff_selection_hyt [gkg-1]
2022-08-06 11:03:11.000;-1.4186367197360146;-1413.9846339672804;-2.447802509774758;-0.21748590078878038;-0.15613937002206413;0.356595259352261;-0.19997269509999782;-0.2135920995311693;-0.07431518825186156;-0.2146567528510417;-0.22792161528049348;-0.07236788138708317
2022-08-06 11:03:11.020;-1.416166766513939;-1413.3803798092704;-2.446756462449358;-0.20563079426549535;-0.145428089841122;0.3497730892556614;-0.20260108093443918;-0.21633360016333825;-0.07491282352689321;-0.21521626523552584;-0.2284975309073758;-0.07245234860255856
2022-08-06 11:03:11.040;-1.4118915949363602;-1412.7759946461592;-2.445710188336051;-0.19377573081622046;-0.13471577567532123;0.34295776262144084;-0.20522945392022152;-0.2190750800368022;-0.07551042369300731;-0.21577577275853344;-0.2290734412223543;-0.07253681362872832
2022-08-06 11:03:11.060;-1.4056537682708883;-1412.1714784972428;-2.444663687468241;-0.18192071044027358;-0.12400242836179487;0.3361492735272611;-0.20785781405740167;-0.22181653915173172;-0.07610798874727642;-0.21633527542006448;-0.22964934622548583;-0.07262127646570704
2022-08-06 11:03:11.080;-1.3973567565426865;-1411.5668909940869;-2.4436170630763963;-0.1695059357345272;-0.11270874154002186;0.3294482175156208;-0.20992694317507343;-0.22397968673048751;-0.07660708694078622;-0.21633527542006448;-0.22964934622548583;-0.07262127646570704
2022-08-06 11:03:11.100;-1.3869829056960656;-1410.962293646182;-2.4425704216419324;-0.15916029014639577;-0.10504888438464732;0.3137963213169215;-0.20734053177798373;-0.2212757516210644;-0.07598321157715748;-0.21633527542006448;-0.22964934622548583;-0.07262127646570704
2022-08-06 11:03:11.120;-1.3745791600408972;-1410.3579312942165;-2.4415241870178663;-0.14840712490443053;-0.09692659430664108;0.2984532914323985;-0.2043470441732005;-0.21811666635328208;-0.07509100644152422;-0.2159280029329551;-0.22920075744066537;-0.07239115094236581
2022-08-06 11:03:11.140;-1.3602754453676231;-1409.7540398908604;-2.4404787676708266;-0.13765392800727483;-0.0887985016094639;0.2831450343961954;-0.2013535467249561;-0.21495755268578876;-0.07419871161229707;-0.21552072787072518;-0.2287521642102348;-0.0721610152678629
2022-08-06 11:03:11.160;-1.3442713740346555;-1409.1506342310167;-2.439434189212832;-0.12690069945464444;-0.08066461685411142;0.26787148254847803;-0.19836003943313685;-0.21179841061869809;-0.07330632709214147;-0.2151134502333747;-0.22830356653430783;-0.07193086944175686
2022-08-06 11:03:11.180;-1.3268566245484674;-1408.5474760307407;-2.438390039141494;-0.13992201940423143;-0.0947435111344852;0.2620592746763055;-0.19896586590251886;-0.21233906851470863;-0.07291918902466321;-0.2157195579893454;-0.22891776828079458;-0.07196682719210035
2022-08-06 11:03:11.200;-1.3083210341108544;-1407.944334005675;-2.4373459170716782;-0.15294328171555804;-0.10882137385130264;0.25625220827749384;-0.19957168666942593;-0.21287972202513572;-0.07253205672967589;-0.2163256600402832;-0.22953196418923483;-0.0720027844254032
2022-08-06 11:03:11.220;-1.2890164679631817;-1407.3415528112673;-2.43630241964952;-0.16429121091901067;-0.12113879557313467;0.25091127400272484;-0.19850592178394422;-0.21166337035570848;-0.07168730235387599;-0.2152594003176631;-0.22830374379408624;-0.07109149932082914
2022-08-06 11:03:11.240;-1.2693266785917772;-1406.7394774872519;-2.43526014418641;-0.1756392138138736;-0.1334554805706638;0.2455746378802326;-0.1974401392524463;-0.21044698360337577;-0.07084245282109514;-0.2141931229408982;-0.22707548576910597;-0.07018010490027038
2022-08-06 11:03:11.260;-1.2496390267300639;-1406.138108802581;-2.434219092013511;-0.18698729040196582;-0.14577142943398158;0.24024229688759302;-0.1963743390744206;-0.20923056176546595;-0.06999750812062011;-0.21312682790942006;-0.2258471901112813;-0.06926860115099753
2022-08-06 11:03:11.280;-1.2303146847259294;-1405.5370803264086;-2.4331786287884665;-0.18353937248426888;-0.14189277985804338;0.24264796758743756;-0.19913322196012118;-0.2120217797293975;-0.07012775578069697;-0.21381688394266973;-0.2265482548901474;-0.06931982994324848
2022-08-06 11:03:11.300;-1.2117277103300998;-1404.9360252430488;-2.432138119502709;-0.18009146687573008;-0.13801398215207783;0.24505451499305675;-0.2018920876011201;-0.21481299698756118;-0.07025810138413124;-0.21450693258127274;-0.22724931203164545;-0.06937105770831486
2022-08-06 11:03:11.320;-1.1941972584201224;-1404.3349552287546;-2.4310975843694442;-0.17635746364616267;-0.13384234982470744;0.2474939173759818;-0.20436510986834477;-0.21731186389534685;-0.07035679338917511;-0.21491100885837966;-0.22765878785942562;-0.06939504637174121
2022-08-06 11:03:11.340;-1.1779985270319488;-1403.7338819594006;-2.430057043601222;-0.17262346941985385;-0.12967056055265758;0.24993422275525745;-0.20683812383114386;-0.2198107394491302;-0.07045558474266755;-0.21531508259992904;-0.22806826109258793;-0.06941903480518352
2022-08-06 11:03:11.360;-1.1633503718724516;-1403.1328054348414;-2.42901649719779;-0.16888948419657623;-0.1254986142809038;0.2523754314249471;-0.20931112948968789;-0.2223096236438522;-0.07055447541759552;-0.21571915380592088;-0.22847773173096186;-0.06944302300862226
2022-08-06 11:03:11.380;-1.1504068537913947;-1402.532680129283;-2.4279775974857025;-0.1607539714714008;-0.1137169388330257;0.27316627958390516;-0.19859223892043687;-0.2109642779220593;-0.06716726437370912;-0.22310388660677916;-0.23631488488469188;-0.07191222331222669
2022-08-06 11:03:11.400;-1.1392801825538301;-1401.9344851376954;-2.426942039413452;-0.1526182168119945;-0.10192344928845287;0.2940233294939505;-0.18787305370218732;-0.19961830523946844;-0.06377837548200738;-0.23048869467912425;-0.24415190862414704;-0.07438036092588796
2022-08-06 11:03:11.420;-1.130015614355373;-1401.3372495569347;-2.4259081422137267;-0.1478185178930076;-0.09367544708084452;0.3137449443685396;-0.18048650884295725;-0.1918219265237866;-0.06157027045960817;-0.2308616889056765;-0.2445298833545877;-0.07440249051713899
